"A_Midsummer_Nights_Dream" "fallushr" "shakespeare-alls-11" "shakespeare-as-12" "shakespeare-comedy-7" "shakespeare-loves-8" "shakespeare-merchant-5" "shakespeare-merry-15" "shakespeare-midsummer-16" "shakespeare-much-3"
"what" 0.421200421200421 0.165448779815249 0.488420367129309 0.42179414706266 0.50325273106665 0.464409722222222 0.474166853053008 0.583567740039464 0.417851546631072 0.446408839779006
"do" 0.625950625950626 0.0137873983179374 0.423297651512068 0.530503978779841 0.270038050816251 0.403645833333333 0.505479758443301 0.43662622276334 0.620973826243398 0.450828729281768
"by" 0.40950040950041 0.42740934785606 0.38666612397737 0.378310214375788 0.515527187921934 0.525173611111111 0.465220308655782 0.41563457743818 0.406244559224653 0.433149171270718
"if" 0.38025038025038 0.179236178133186 0.427367821238146 0.600078271078836 0.362096477230883 0.3515625 0.536792663833594 0.369452957722826 0.377227090708607 0.548066298342541
"all" 0.532350532350532 0.386047152902247 0.394806463429525 0.400052180719224 0.29458696452682 0.373263888888889 0.371281592484903 0.327469667072505 0.528117926992049 0.380110497237569
"sir" 0.0234000234000234 0.0413621949538122 0.394806463429525 0.330477888420229 0.675095127040628 0.564236111111111 0.174457615745918 1.15454049288383 0.0232139748128373 0.159116022099448
"shall" 0.421200421200421 0.124086584861437 0.468069518498921 0.295690742270731 0.159567939118694 0.386284722222222 0.487586669648848 0.545782778454175 0.417851546631072 0.362430939226519
"are" 0.391950391950392 0.0413621949538122 0.378525784525215 0.482671652824281 0.276175279243893 0.464409722222222 0.451800492059942 0.281288047357152 0.388834078115025 0.402209944751381
"love" 0.579150579150579 0 0.244210183564655 0.487020046092969 0.110470111697557 0.434027777777778 0.263923059718184 0.193123136991477 0.591956357727352 0.397790055248619
"good" 0.245700245700246 0.0413621949538122 0.366315275346982 0.50006522589903 0.171842395973978 0.243055555555556 0.277342876314024 0.545782778454175 0.243746735534792 0.406629834254144
"we" 0.444600444600445 0.179236178133186 0.358174935894827 0.31308431534548 0.282312507671536 0.434027777777778 0.28628942071125 0.251899743901927 0.441065521443909 0.282872928176796
"she" 0.362700362700363 0.0965117882255618 0.362245105620904 0.243510023046484 0.319135878237388 0.199652777777778 0.165511071348692 0.327469667072505 0.359816609598979 0.623204419889503
"on" 0.40950040950041 0.261960568040811 0.236069844112499 0.278297169195982 0.270038050816251 0.3515625 0.308655781704317 0.268693060162056 0.412048052927863 0.313812154696133
